address,apn,building_type,stories_total,stories_above,stories_below,units,occupancy_type
1047 BERKELEY ST,4266006046,Soft Story,2,2,0,1,
1165 STANFORD ST,4266008067,Soft Story,2,2,0,5,
2901 WILSHIRE BLVD,4266009039,Non-Ductile Concrete,4,,,0,Clinic
1143 HARVARD ST,4266009059,Soft Story,2,2,0,6,
2811 WILSHIRE BLVD,4266009060,Steel Moment Frame,9,,,0,
2812 MONTANA AVE,4266012002,Soft Story,2,2,0,5,
2712 MONTANA AVE,4266013002,Soft Story,2,2,0,10,
2622 MONTANA AVE,4266013057,Soft Story,2,2,0,5,
2626 MONTANA AVE,4266013058,Soft Story,2,2,0,5,
2632 MONTANA AVE,4266013059,Soft Story,3,3,0,6,
2618 MONTANA AVE,4266013081,Soft Story,2,2,0,3,
2618 MONTANA AVE,4266013082,Soft Story,2,2,0,3,
2618 MONTANA AVE,4266013083,Soft Story,2,2,0,3,
924 PRINCETON ST,4266014021,Soft Story,2,2,0,1,
1123 PRINCETON ST,4266016043,Soft Story,2,2,0,4,
2721 WILSHIRE BLVD (2723 WILSHIRE BLVD),4266016050,Unreinforced Masonry,1,,,,
1249 FRANKLIN ST,4267001010,Soft Story,2,2,0,8,
1223 BERKELEY ST,4267002016,Soft Story,2,2,0,6,
1237 BERKELEY ST,4267002019,Soft Story,2,2,0,6,
1247 BERKELEY ST,4267002021,Soft Story,2,2,0,6,
3101 ARIZONA AVE,4267002023,Soft Story,2,2,0,6,
3130 WILSHIRE BLVD,4267002025,Non-Ductile Concrete,6,,,0,Commercial
1233 BERKELEY ST,4267002028,Soft Story,2,2,0,7,
1233 BERKELEY ST,4267002029,Soft Story,2,2,0,7,
1233 BERKELEY ST,4267002030,Soft Story,2,2,0,7,
1233 BERKELEY ST,4267002031,Soft Story,2,2,0,7,
1233 BERKELEY ST,4267002032,Soft Story,2,2,0,7,
1233 BERKELEY ST,4267002033,Soft Story,2,2,0,7,
1233 BERKELEY ST,4267002034,Soft Story,2,2,0,7,
1253 BERKELEY ST,4267002035,Soft Story,2,2,0,7,
1253 BERKELEY ST,4267002036,Soft Story,2,2,0,7,
1253 BERKELEY ST,4267002037,Soft Story,2,2,0,7,
1253 BERKELEY ST,4267002038,Soft Story,2,2,0,7,
1253 BERKELEY ST,4267002039,Soft Story,2,2,0,7,
1253 BERKELEY ST,4267002040,Soft Story,2,2,0,7,
1253 BERKELEY ST,4267002041,Soft Story,2,2,0,7,
3016 WILSHIRE BLVD,4267003001,Non-Ductile Concrete,5,,,0,Commercial
1228 BERKELEY ST,4267003005,Soft Story,2,2,0,9,
1239 STANFORD ST,4267003010,Soft Story,2,2,0,15,
3015 ARIZONA AVE,4267003020,Soft Story,2,2,0,5,
3003 ARIZONA AVE (3003-3009 ARIZONA AVE),4267003021,Soft Story,2,2,0,18,
1250 STANFORD ST,4267004001,Soft Story,2,2,0,6,
2927 ARIZONA AVE,4267004002,Soft Story,2,2,0,5,
1224 STANFORD ST,4267004011,Soft Story,2,2,0,9,
2921 ARIZONA AVE,4267004023,Soft Story,2,2,0,10,
1237 YALE ST (1237-1243 YALE ST),4267004047,Soft Story,3,3,0,14,
1237 YALE ST (1237-1243 YALE ST),4267004048,Soft Story,3,3,0,14,
1237 YALE ST (1237-1243 YALE ST),4267004049,Soft Story,3,3,0,14,
1237 YALE ST (1237-1243 YALE ST),4267004050,Soft Story,3,3,0,14,
1237 YALE ST (1237-1243 YALE ST),4267004051,Soft Story,3,3,0,14,
1237 YALE ST (1237-1243 YALE ST),4267004052,Soft Story,3,3,0,14,
1237 YALE ST (1237-1243 YALE ST),4267004053,Soft Story,3,3,0,14,
1243 YALE ST (1237-1243 YALE ST),4267004054,Soft Story,3,3,0,14,
1243 YALE ST (1237-1243 YALE ST),4267004055,Soft Story,3,3,0,14,
1243 YALE ST (1237-1243 YALE ST),4267004056,Soft Story,3,3,0,14,
1243 YALE ST (1237-1243 YALE ST),4267004057,Soft Story,3,3,0,14,
1243 YALE ST (1237-1243 YALE ST),4267004058,Soft Story,3,3,0,14,
1243 YALE ST (1237-1243 YALE ST),4267004059,Soft Story,3,3,0,14,
1243 YALE ST (1237-1243 YALE ST),4267004060,Soft Story,3,3,0,14,
